slug,version,plain_display_name,primary_task_archetypes,secondary_task_archetypes,primary_failure_modes,secondary_failure_modes,pipeline_stages,environment_promoters,environment_demoters,default_complexity_min,default_complexity_max,project_profile_priors,normally_exclude_for,escalates_from,escalates_to,counterbalance_notes,source_support,review_status,notes
reasoning-scale-controller,1.1.0,Task-Scope Reasoning Controller,"[""planning-design""]","[""constraint-reasoning"", ""evaluation-audit""]","[""under-verification"", ""over-verification""]","[""weak-stopping-rule"", ""context-overload""]","[""task triage"", ""reasoning execution"", ""escalation and de-escalation""]","[""high_stakes"", ""acceptance_criteria_present"", ""deterministic_verifier_available""]","[""missing_required_information""]",L1,L4,"[""general"", ""software-development"", ""research"", ""agent-development""]","[""content-transformation""]","[""micro-scaffolding""]","[""cognitive-governor""]","[{""slug"": ""bounded-exit"", ""reason"": ""Prevents scale adjustment from becoming an unbounded reasoning loop.""}, {""slug"": ""critical-atomic-verification"", ""reason"": ""Keeps decisive high-risk units independently checked.""}]",sufficiently-recovered,PASS,Use as a proportionality prior when task difficulty or risk varies; it does not prescribe hidden reasoning output.
reasoning-throughput-governor,1.1.0,Reasoning Efficiency Controller,"[""workflow-automation""]","[""planning-design"", ""skill-agent-creation""]","[""over-branching"", ""context-overload""]","[""weak-stopping-rule"", ""orchestration-fragmentation""]","[""queue planning"", ""batch and concurrency control"", ""validation scheduling"", ""backpressure response""]","[""multi_agent_available"", ""branches_independent"", ""tools_required""]","[""tightly_shared_state"", ""irreversible_action""]",L3,L5,"[""agent-development"", ""software-development"", ""research""]","[""knowledge-explanation"", ""content-transformation""]","[""reasoning-scale-controller""]","[""ultimate-suite-supervisor""]","[{""slug"": ""meta-awareness"", ""reason"": ""Checks whether concurrency and batching are improving rather than degrading the run.""}]",sufficiently-recovered,PASS,Promote only for observable multi-unit workloads; do not infer permission to parallelize a serial or consequential procedure.
reflectos,1.1.0,Checkpointed Work Reflection,"[""evaluation-audit""]","[""planning-design"", ""content-authoring""]","[""under-verification"", ""task-drift""]","[""invalid-validation-signal"", ""weak-stopping-rule""]","[""milestone review"", ""pre-delivery"", ""after failed validation""]","[""acceptance_criteria_present"", ""deterministic_verifier_available"", ""persistent_work""]","[""context_window_pressure""]",L2,L4,"[""general"", ""software-development"", ""authoring"", ""documentation""]","[""creative-exploration""]","[""coherence-loops""]","[""meta-supervisor""]","[{""slug"": ""crispr-edit"", ""reason"": ""Converts detected defects into bounded corrections instead of broad rework.""}]",sufficiently-recovered,PASS,"Select for meaningful checkpoints, not as a mandatory reflection ritual after every trivial step."
regenerative-rewrite,1.1.0,Full-Structure Invariant-Preserving Rewrite,"[""content-transformation""]","[""content-authoring"", ""software-engineering""]","[""under-editing"", ""invariant-violation""]","[""constraint-loss"", ""provenance-loss"", ""over-editing""]","[""failure diagnosis"", ""truth-and-constraint extraction"", ""fresh reconstruction"", ""global validation""]","[""requires_exact_fidelity"", ""contains_protected_literals"", ""acceptance_criteria_present""]","[""missing_required_information"", ""context_window_pressure""]",L3,L4,"[""authoring"", ""documentation"", ""software-development"", ""long-context""]","[""knowledge-explanation"", ""action-execution""]","[""safe-rewrite""]","[""surgery-edit""]","[{""slug"": ""micro-repair"", ""reason"": ""Suppresses full regeneration when a localized correction is sufficient.""}]",sufficiently-recovered,PASS,Reserve for globally unsound structure with recoverable invariants; a small defect should rank a local edit higher.
resonance,1.1.0,Cross-Module Coordination,"[""workflow-automation""]","[""skill-agent-creation"", ""planning-design""]","[""orchestration-fragmentation"", ""branch-contamination""]","[""domain-context-contamination"", ""packaging-activation-drift""]","[""post-selection coordination"", ""mid-process coupling"", ""pre-synthesis alignment""]","[""multi_agent_available"", ""branches_independent"", ""durable_state_available""]","[""tightly_shared_state"", ""context_window_pressure""]",L3,L5,"[""agent-development"", ""software-development""]","[""knowledge-explanation"", ""content-transformation""]",[],"[""resonance-gene-builder""]","[{""slug"": ""domain-mode-isolation"", ""reason"": ""Prevents coordination signals from collapsing domain or authority boundaries.""}]",sufficiently-recovered,PASS,Rank only when multiple active modules need an explicit coupling path; coordination is not permission to share all state.
resonance-gene-builder,1.1.0,Cross-Module Coordination Rule Builder,"[""skill-agent-creation""]","[""workflow-automation"", ""planning-design""]","[""packaging-activation-drift"", ""orchestration-fragmentation""]","[""domain-context-contamination"", ""version-drift""]","[""relationship observation"", ""coupling specification"", ""composition testing"", ""versioned publication""]","[""recurrence_pattern_stable"", ""durable_state_available"", ""deterministic_verifier_available""]","[""missing_required_information"", ""tightly_shared_state""]",L4,L5,"[""agent-development""]","[""knowledge-explanation"", ""content-authoring"", ""content-transformation""]","[""resonance""]","[""behavior-gene-builder""]","[{""slug"": ""domain-mode-isolation"", ""reason"": ""Requires explicit boundaries around every reusable coupling rule.""}]",strongly-derivable,PASS,Prefer only after repeated module interactions establish a stable reusable pattern; do not package one-off coordination.
risk-tier-scaling,1.1.0,Risk-Tier Scaling,"[""evaluation-audit""]","[""decision-support"", ""action-execution""]","[""under-verification"", ""irreversible-action-risk""]","[""over-verification"", ""abstention-miscalibration""]","[""risk triage"", ""control selection"", ""pre-commit validation"", ""risk reclassification""]","[""high_stakes"", ""irreversible_action"", ""external_action_allowed""]","[""review_only""]",L1,L5,"[""general"", ""software-development"", ""medical-evidence"", ""legal-evidence"", ""agent-development""]","[""creative-exploration""]","[""reasoning-scale-controller""]","[""safe-mode"", ""fail-closed-abstention""]","[{""slug"": ""reasoning-throughput-governor"", ""reason"": ""Avoids applying maximal controls uniformly when work units have materially different risk.""}]",sufficiently-recovered,PASS,"Risk classification selects scrutiny, approval, and stopping priors; it does not create authority for consequential actions."
safe-mode,1.1.0,Conservative Execution Mode,"[""action-execution""]","[""software-engineering"", ""evaluation-audit""]","[""irreversible-action-risk"", ""action-permission-risk""]","[""under-verification"", ""capability-hallucination""]","[""execution readiness"", ""atomic action"", ""immediate verification"", ""conservative finalization""]","[""irreversible_action"", ""high_stakes"", ""human_approval_available"", ""deterministic_verifier_available""]","[""review_only"", ""missing_required_information""]",L3,L5,"[""software-development"", ""agent-development"", ""medical-evidence"", ""legal-evidence""]","[""creative-exploration"", ""knowledge-explanation""]","[""risk-tier-scaling""]",[],"[{""slug"": ""power-mode"", ""reason"": ""Makes explicit when broader exploratory power should remain separate from conservative execution.""}]",sufficiently-recovered,PASS,"A conservative execution prior requires existing action authority, a committed plan, and verifiable atomic steps."
safe-rewrite,1.1.0,Safe Rewrite Logic,"[""content-transformation""]","[""content-authoring"", ""evaluation-audit""]","[""constraint-loss"", ""invariant-violation""]","[""over-editing"", ""provenance-loss""]","[""rewrite planning"", ""controlled transformation"", ""atom-level comparison""]","[""requires_exact_fidelity"", ""contains_protected_literals"", ""has_supplied_sources""]","[""missing_required_information"", ""evidence_conflicting""]",L1,L3,"[""authoring"", ""documentation"", ""long-context"", ""legal-evidence""]","[""action-execution"", ""quantitative-analysis""]","[""micro-repair""]","[""regenerative-rewrite""]","[{""slug"": ""regenerative-rewrite"", ""reason"": ""Provides an explicit escalation when the structure, not merely wording, is globally unsound.""}]",sufficiently-recovered,PASS,Prefer for meaning-preserving rewrites with identifiable invariants; conflicting source truth must be resolved first.
scoped-loader,1.1.0,Scoped Loader / Loader Sequencing,"[""content-understanding""]","[""software-engineering"", ""research-grounding"", ""workflow-automation""]","[""context-overload"", ""evidence-coverage-gap""]","[""domain-context-contamination"", ""constraint-loss""]","[""task classification"", ""pre-retrieval"", ""on-demand loading"", ""pre-commit validation""]","[""long_context"", ""multi_document"", ""context_window_pressure"", ""tools_required""]","[""missing_required_information""]",L1,L5,"[""long-context"", ""software-development"", ""research"", ""agent-development""]","[""knowledge-explanation""]","[""activation-budget-funnel""]",[],"[{""slug"": ""anti-tunnel-vision"", ""reason"": ""Counters overly narrow loading that would miss a materially relevant source or module.""}]",sufficiently-recovered,PASS,Select to reduce token load through task-conditioned retrieval; required context and authority constraints remain unsuppressible.
selfblock-auto-update,1.1.0,Automatic Canonical-State Update,"[""workflow-automation""]","[""skill-agent-creation"", ""action-execution""]","[""stale-state"", ""lost-state""]","[""action-permission-risk"", ""version-drift""]","[""after meaningful action"", ""after tool result"", ""before handoff"", ""before resume""]","[""persistent_work"", ""durable_state_available"", ""handoff_expected"", ""file_write_allowed""]","[""sensitive_data"", ""review_only"", ""tightly_shared_state""]",L3,L5,"[""agent-development"", ""software-development""]","[""knowledge-explanation"", ""content-transformation""]","[""stateblock""]","[""sequential-memory-state-engine""]","[{""slug"": ""clarification-gateway"", ""reason"": ""Blocks ambiguous updates to authority-bearing state.""}, {""slug"": ""drift-suppression"", ""reason"": ""Keeps automated state mutation aligned with the accepted task.""}]",sufficiently-recovered,PASS,Selection presumes writable durable state and trusted update rules; never infer write authority from persistence alone.
sequential-memory-state-engine,1.1.0,Ordered Memory-State Update Engine,"[""workflow-automation""]","[""skill-agent-creation"", ""action-execution""]","[""lost-state"", ""stale-state""]","[""branch-contamination"", ""version-drift"", ""poor-handoff""]","[""ingest"", ""normalize"", ""classify"", ""compare"", ""resolve"", ""commit"", ""project"", ""checkpoint""]","[""persistent_work"", ""durable_state_available"", ""handoff_expected"", ""tools_required""]","[""tightly_shared_state"", ""sensitive_data""]",L4,L5,"[""agent-development"", ""software-development"", ""long-context""]","[""knowledge-explanation"", ""creative-exploration""]","[""stateblock"", ""selfblock-auto-update""]","[""state-routing-bus""]","[{""slug"": ""drift-suppression"", ""reason"": ""Guards ordered commits against task and constraint drift.""}, {""slug"": ""stable-long-context"", ""reason"": ""Preserves recoverable context around the compact canonical state.""}]",sufficiently-recovered,PASS,"Use for ordered, evolving state across multiple steps; a one-shot response should suppress this machinery."
specificity-penalty-gate,1.1.0,Unsupported Precision Gate,"[""research-grounding""]","[""content-authoring"", ""evaluation-audit"", ""decision-support""]","[""unsupported-precision"", ""unsupported-claim""]","[""poor-uncertainty-handling"", ""citation-source-mismatch""]","[""drafting"", ""claim validation"", ""pre-release""]","[""requires_citations"", ""high_stakes"", ""time_sensitive"", ""evidence_unavailable""]","[""has_supplied_sources"", ""deterministic_verifier_available""]",L1,L4,"[""research"", ""medical-evidence"", ""legal-evidence"", ""authoring""]","[""creative-exploration"", ""content-transformation""]","[""epistemic-status-gating""]","[""fail-closed-abstention""]","[{""slug"": ""critical-atomic-verification"", ""reason"": ""Allows exact claims when a decisive unit can actually be verified.""}]",source-gap,PASS,"The selection prior is defensible, but the canonical record flags a historical source gap; never treat it as evidence for a specific hidden mechanism."
stable-long-context,1.1.0,Stable Long-Context,"[""content-understanding""]","[""workflow-automation"", ""research-grounding""]","[""lost-state"", ""context-overload""]","[""constraint-loss"", ""provenance-loss"", ""stale-state""]","[""initial anchoring"", ""periodic compaction"", ""context re-entry"", ""final consistency check""]","[""long_context"", ""multi_document"", ""persistent_work"", ""context_window_pressure""]","[""requires_exact_fidelity"", ""missing_required_information""]",L2,L5,"[""long-context"", ""research"", ""documentation"", ""agent-development""]","[""knowledge-explanation""]","[""working-memory-lock-in""]","[""sequential-memory-state-engine""]","[{""slug"": ""drift-suppression"", ""reason"": ""Keeps compressed summaries aligned with locked constraints.""}, {""slug"": ""scoped-loader"", ""reason"": ""Reloads precise source material when summaries are insufficient.""}]",sufficiently-recovered,PASS,Use when context must survive compression or re-entry; do not substitute summaries for material requiring lossless retention.
state-routing-bus,1.1.0,Task-State Handoff Router,"[""workflow-automation""]","[""skill-agent-creation""]","[""poor-handoff"", ""orchestration-fragmentation""]","[""branch-contamination"", ""domain-context-contamination"", ""lost-state""]","[""post-module emission"", ""inter-module routing"", ""handoff verification""]","[""multi_agent_available"", ""handoff_expected"", ""durable_state_available"", ""branches_independent""]","[""tightly_shared_state"", ""sensitive_data""]",L4,L5,"[""agent-development"", ""software-development""]","[""knowledge-explanation"", ""content-authoring"", ""content-transformation""]","[""structured-state-projection""]","[""ultimate-suite-supervisor""]","[{""slug"": ""scoped-loader"", ""reason"": ""Limits each recipient to the state slice needed for its task.""}]",sufficiently-recovered,PASS,"Require a real handoff medium and explicit recipient contract; this is routing support, not an implicit shared-memory promise."
state-snapshot,1.1.0,State Snapshot,"[""workflow-automation""]","[""action-execution"", ""skill-agent-creation""]","[""lost-state"", ""poor-handoff""]","[""stale-state"", ""version-drift""]","[""milestone completion"", ""before risky transition"", ""handoff"", ""recovery""]","[""persistent_work"", ""handoff_expected"", ""durable_state_available"", ""irreversible_action""]","[""sensitive_data"", ""review_only""]",L2,L5,"[""agent-development"", ""software-development"", ""long-context""]","[""knowledge-explanation"", ""creative-exploration""]","[""stateblock""]","[""sequential-memory-state-engine""]","[{""slug"": ""scoped-loader"", ""reason"": ""Keeps recovery snapshots discoverable without keeping all state active.""}, {""slug"": ""selfblock-auto-update"", ""reason"": ""Separates milestone snapshots from continuous state updates.""}]",strongly-derivable,PASS,"Snapshot only valid committed state, excluding prohibited sensitive content and incomplete transactions."
stateblock,1.1.0,Canonical Task State,"[""workflow-automation""]","[""planning-design"", ""skill-agent-creation""]","[""lost-state"", ""task-drift""]","[""stale-state"", ""constraint-loss"", ""poor-handoff""]","[""task initialization"", ""after accepted state changes"", ""before action"", ""handoff and recovery""]","[""persistent_work"", ""handoff_expected"", ""durable_state_available"", ""acceptance_criteria_present""]","[""sensitive_data"", ""tightly_shared_state""]",L2,L5,"[""agent-development"", ""software-development"", ""long-context"", ""general""]","[""knowledge-explanation"", ""content-transformation""]","[""working-memory-lock-in""]","[""sequential-memory-state-engine""]","[{""slug"": ""micro-scaffolding"", ""reason"": ""Avoids expanding a canonical state record beyond the minimum useful schema.""}, {""slug"": ""working-memory-cues"", ""reason"": ""Projects only the currently salient state instead of repeating the whole block.""}]",sufficiently-recovered,PASS,Select for evolving multi-step tasks with a single canonical state contract; suppress for trivial one-turn work.
structured-refinement,1.1.0,Structured Refinement Cycles,"[""content-transformation""]","[""content-authoring"", ""evaluation-audit""]","[""under-editing"", ""invalid-validation-signal""]","[""over-editing"", ""weak-stopping-rule"", ""constraint-loss""]","[""factual pass"", ""structural pass"", ""style pass"", ""release validation""]","[""acceptance_criteria_present"", ""has_supplied_sources"", ""structured_output_required""]","[""missing_required_information"", ""context_window_pressure""]",L1,L4,"[""authoring"", ""documentation"", ""general""]","[""action-execution"", ""knowledge-explanation""]","[""micro-repair""]","[""regenerative-rewrite""]","[{""slug"": ""regenerative-rewrite"", ""reason"": ""Stops iterative polishing when a globally broken structure should be rebuilt.""}]",sufficiently-recovered,PASS,Use distinct passes with acceptance tests and a stopping rule; do not select when one bounded repair is enough.
structured-state-projection,1.1.0,Structured State Projection,"[""workflow-automation""]","[""skill-agent-creation"", ""content-understanding""]","[""domain-context-contamination"", ""context-overload""]","[""constraint-loss"", ""poor-handoff""]","[""before component invocation"", ""domain transfer"", ""handoff"", ""output merge""]","[""multi_agent_available"", ""handoff_expected"", ""context_window_pressure"", ""sensitive_data""]","[""missing_required_information"", ""tightly_shared_state""]",L3,L5,"[""agent-development"", ""software-development"", ""long-context""]","[""knowledge-explanation"", ""creative-exploration""]","[""scoped-loader""]","[""state-routing-bus""]","[{""slug"": ""clarification-gateway"", ""reason"": ""Blocks projection when field dependencies or required constraints are unresolved.""}, {""slug"": ""cot-structured-state-block"", ""reason"": ""Maintains a structured consumer-facing contract without exposing unnecessary state.""}]",source-gap,PASS,The projection prior is conservative; the canonical source gap requires avoiding claims about unrecovered historical mechanism details.
stuck-pattern-reset,1.1.0,Stuck-Pattern Reset Pack,"[""planning-design""]","[""software-engineering"", ""research-grounding"", ""creative-exploration""]","[""tunnel-vision"", ""premature-commitment""]","[""weak-stopping-rule"", ""task-drift"", ""lost-state""]","[""repetition detection"", ""state preservation"", ""path quarantine"", ""alternative restart""]","[""persistent_work"", ""recurrence_pattern_stable"", ""reproduction_available""]","[""missing_required_information"", ""irreversible_action""]",L2,L4,"[""general"", ""software-development"", ""research"", ""agent-development""]","[""content-transformation"", ""knowledge-explanation""]","[""bounded-exit""]","[""meta-supervisor""]","[{""slug"": ""forethought-checkpoints"", ""reason"": ""Preserves acceptance criteria and known constraints during an alternative restart.""}]",sufficiently-recovered,PASS,"Select after repeated materially similar failures, not merely after one failed attempt with a new method or evidence."
style-alignment,1.1.0,Style-Alignment Module,"[""content-transformation""]","[""content-authoring""]","[""constraint-loss"", ""over-editing""]","[""invariant-violation"", ""unsupported-claim""]","[""style contract extraction"", ""surface transformation"", ""semantic and style validation""]","[""has_supplied_sources"", ""requires_exact_fidelity"", ""contains_protected_literals""]","[""evidence_conflicting"", ""missing_required_information""]",L1,L3,"[""authoring"", ""documentation"", ""general""]","[""quantitative-analysis"", ""action-execution""]",[],"[""structured-refinement""]","[{""slug"": ""explanation-minimality-scaffold"", ""reason"": ""Avoids adding ornamental explanation while matching style.""}, {""slug"": ""grounding-no-invention"", ""reason"": ""Keeps stylistic fluency from introducing unsupported substance.""}]",sufficiently-recovered,PASS,Rank for explicit style transformation only after facts and reasoning are stable; protected text remains unchanged.
surgery-edit,1.1.0,Structural System Edit,"[""software-engineering""]","[""content-transformation"", ""planning-design""]","[""under-editing"", ""invariant-violation""]","[""over-editing"", ""constraint-loss"", ""under-verification""]","[""structural diagnosis"", ""interface inventory"", ""replacement design"", ""migration and cutover"", ""global validation""]","[""editing_requested"", ""acceptance_criteria_present"", ""tests_available"", ""deterministic_verifier_available""]","[""review_only"", ""missing_required_information"", ""irreversible_action""]",L4,L5,"[""software-development"", ""agent-development""]","[""knowledge-explanation"", ""content-authoring""]","[""regenerative-rewrite""]",[],"[{""slug"": ""crispr-edit"", ""reason"": ""Prefers a bounded local edit when it can preserve all interfaces.""}, {""slug"": ""micro-repair"", ""reason"": ""Suppresses structural replacement for an isolated defect.""}]",sufficiently-recovered,PASS,"Reserve for a system-level replacement with explicit interfaces, migration, rollback, and global validation."
task-set-lock-in,1.1.0,Task-Set Lock-In,"[""planning-design""]","[""workflow-automation"", ""software-engineering"", ""action-execution""]","[""task-drift"", ""mode-scope-authority-drift""]","[""constraint-loss"", ""poor-handoff""]","[""after clarification"", ""before planning"", ""at scope-change requests"", ""final acceptance""]","[""acceptance_criteria_present"", ""persistent_work"", ""handoff_expected"", ""editing_requested""]","[""missing_required_information""]",L1,L5,"[""general"", ""software-development"", ""agent-development"", ""documentation""]","[""creative-exploration""]",[],"[""stateblock""]","[{""slug"": ""controlled-drift-corridors"", ""reason"": ""Allows explicitly bounded adaptation without silently changing the task.""}, {""slug"": ""micro-scaffolding"", ""reason"": ""Keeps lock-in proportional to the actual task.""}]",sufficiently-recovered,PASS,"Use after material ambiguity is resolved; lock the accepted objective, scope, authority, and completion criteria, not incidental wording."
temporal-anchor-scaffold,1.1.0,Temporal Anchor Scaffold,"[""research-grounding""]","[""content-understanding"", ""decision-support""]","[""stale-state"", ""source-applicability-mismatch""]","[""unsupported-precision"", ""evidence-conflict-suppression""]","[""source intake"", ""timeline reconciliation"", ""time-sensitive reasoning"", ""final citation check""]","[""time_sensitive"", ""requires_citations"", ""multi_document"", ""evidence_conflicting""]","[""evidence_unavailable"", ""missing_required_information""]",L2,L4,"[""research"", ""medical-evidence"", ""legal-evidence"", ""long-context""]","[""creative-exploration"", ""content-transformation""]","[""working-memory-cues""]","[""sequential-memory-state-engine""]","[{""slug"": ""clarification-gateway"", ""reason"": ""Surfaces missing or ambiguous dates before timeline synthesis.""}, {""slug"": ""stable-long-context"", ""reason"": ""Preserves temporal anchors across long evidence sets.""}]",source-gap,PASS,Select only when time changes claim meaning or source applicability; unsupported dates must remain unknown.
truth-priority-hierarchy,1.1.0,Truth Priority Hierarchy,"[""evaluation-audit""]","[""research-grounding"", ""decision-support""]","[""evidence-conflict-suppression"", ""source-applicability-mismatch""]","[""unsupported-claim"", ""poor-uncertainty-handling""]","[""task-framing"", ""evidence-conflict-resolution"", ""qms-collapse""]","[""evidence_conflicting"", ""requires_citations"", ""high_stakes"", ""multi_document""]","[""evidence_unavailable"", ""missing_required_information""]",L2,L5,"[""research"", ""medical-evidence"", ""legal-evidence"", ""general""]","[""creative-exploration"", ""content-transformation""]","[""epistemic-status-gating""]","[""multi-truth-gating""]",[],sufficiently-recovered,PASS,A hierarchy must come from domain authority and applicability rules; never invent one merely to force conflicting evidence to collapse.
truth-redundancy,1.1.0,Independent Evidence Redundancy,"[""research-grounding""]","[""evaluation-audit"", ""decision-support""]","[""evidence-coverage-gap"", ""under-verification""]","[""citation-source-mismatch"", ""source-applicability-mismatch""]","[""evidence-selection"", ""pre-synthesis-validation""]","[""high_stakes"", ""requires_citations"", ""web_available"", ""external_research_allowed""]","[""evidence_unavailable"", ""context_window_pressure""]",L3,L5,"[""research"", ""medical-evidence"", ""legal-evidence""]","[""creative-exploration"", ""content-transformation""]","[""critical-atomic-verification""]","[""two-truths-and-corridor""]",[],sufficiently-recovered,PASS,Promote for consequential claims needing genuinely independent anchors; duplicate reports of one source do not provide redundancy.
two-truths-and-corridor,1.1.0,Dual-Source Bounded Synthesis,"[""research-grounding""]","[""decision-support"", ""content-authoring""]","[""evidence-conflict-suppression"", ""constraint-loss""]","[""unsupported-claim"", ""provenance-loss""]","[""pre-synthesis"", ""synthesis"", ""post-synthesis-validation""]","[""multi_document"", ""requires_citations"", ""evidence_conflicting"", ""has_supplied_sources""]","[""evidence_unavailable"", ""requires_exact_fidelity""]",L3,L4,"[""research"", ""medical-evidence"", ""legal-evidence"", ""authoring""]","[""creative-exploration"", ""content-transformation""]","[""truth-redundancy""]","[""multi-truth-gating""]","[{""slug"": ""grounding-no-invention"", ""reason"": ""Keeps the synthesis corridor bounded by what the two anchors actually support.""}]",strongly-derivable,PASS,Use only with two defensible anchors and an explicit synthesis corridor; it is not a substitute for exact extraction.
ultimate-suite-supervisor,1.1.0,Suite-Wide Workflow Supervisor,"[""skill-agent-creation""]","[""workflow-automation"", ""planning-design""]","[""orchestration-fragmentation"", ""packaging-activation-drift""]","[""mode-scope-authority-drift"", ""context-overload"", ""version-drift""]","[""suite activation"", ""mode and stack declaration"", ""global routing"", ""conflict resolution"", ""post-output health gate""]","[""multi_agent_available"", ""tools_required"", ""durable_state_available"", ""branches_independent""]","[""tightly_shared_state"", ""missing_required_information"", ""context_window_pressure""]",L5,L5,"[""agent-development""]","[""knowledge-explanation"", ""content-transformation"", ""content-authoring"", ""creative-exploration""]","[""meta-supervisor"", ""state-routing-bus""]",[],"[{""slug"": ""reasoning-throughput-governor"", ""reason"": ""Constrains suite-wide scheduling and verification cost.""}, {""slug"": ""scoped-loader"", ""reason"": ""Prevents the supervisor from loading every available component into every task.""}]",sufficiently-recovered,PASS,Highest-complexity prior for a real suite with explicit manifests and authority rules; suppress whenever a smaller composition can complete the task.
working-memory-cues,1.1.0,Working-Memory Cues,"[""content-understanding""]","[""workflow-automation"", ""planning-design""]","[""constraint-loss"", ""task-drift""]","[""context-overload"", ""lost-state""]","[""before risky step"", ""after context switch"", ""before output"", ""at known failure points""]","[""long_context"", ""persistent_work"", ""context_window_pressure"", ""recurrence_pattern_stable""]","[""missing_required_information""]",L1,L3,"[""long-context"", ""agent-development"", ""software-development"", ""general""]","[""creative-exploration""]","[""task-set-lock-in""]","[""working-memory-lock-in""]","[{""slug"": ""attention-compression-scaffold"", ""reason"": ""Keeps cues short enough to remain salient.""}, {""slug"": ""clarification-gateway"", ""reason"": ""Prevents unresolved assumptions from becoming repeated cues.""}]",sufficiently-recovered,PASS,Use a few targeted cues at known failure points; cues supplement rather than replace canonical state.
working-memory-lock-in,1.1.0,Working-Memory Lock-In,"[""workflow-automation""]","[""content-understanding"", ""software-engineering""]","[""constraint-loss"", ""task-drift""]","[""lost-state"", ""context-overload""]","[""task initialization"", ""before each major action"", ""after context/tool transition"", ""final validation""]","[""long_context"", ""persistent_work"", ""tools_required"", ""context_window_pressure""]","[""missing_required_information"", ""tightly_shared_state""]",L2,L4,"[""long-context"", ""software-development"", ""agent-development""]","[""creative-exploration"", ""knowledge-explanation""]","[""working-memory-cues""]","[""stateblock""]","[{""slug"": ""attention-compression-scaffold"", ""reason"": ""Prevents locked material from crowding out active work.""}, {""slug"": ""stable-long-context"", ""reason"": ""Moves broader history outside the continuously salient lock.""}]",sufficiently-recovered,PASS,"Lock only small, stable, authority-bearing facts and invariants; unresolved or rapidly changing values should not be locked."
zero-drift-zones,1.1.0,Immutable Content Zones,"[""content-transformation""]","[""content-authoring"", ""software-engineering""]","[""invariant-violation"", ""constraint-loss""]","[""over-editing"", ""provenance-loss""]","[""source annotation"", ""transformation planning"", ""generation guard"", ""final verification""]","[""contains_protected_literals"", ""requires_exact_fidelity"", ""has_supplied_sources"", ""deterministic_verifier_available""]","[""missing_required_information"", ""evidence_conflicting""]",L1,L4,"[""authoring"", ""documentation"", ""software-development"", ""legal-evidence"", ""long-context""]","[""creative-exploration"", ""knowledge-explanation""]","[""controlled-drift-corridors""]","[""drift-suppression""]","[{""slug"": ""clarification-gateway"", ""reason"": ""Requires the immutable boundary to be explicit before transformation.""}, {""slug"": ""drift-spectra-scaling"", ""reason"": ""Avoids treating mutable surrounding content as equally locked.""}]",sufficiently-recovered,PASS,"Select when immutable spans can be identified and verified; if everything is frozen, no useful transformation remains."
